Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
28-12-2020,ADANIGREEN,EQ,1036.2,1036.2,1044.85,1025.65,1035,1038,1032.77,425292,4.39228E+13,18184,212680,0.5001
29-12-2020,ADANIGREEN,EQ,1038,1040,1047.25,1026,1041,1038.7,1034.04,349607,3.61509E+13,17347,174191,0.4982
30-12-2020,ADANIGREEN,EQ,1038.7,1039.9,1060,1028,1054,1052.95,1044.76,374589,3.91356E+13,20605,187953,0.5018
31-12-2020,ADANIGREEN,EQ,1052.95,1070,1090,1041,1049,1052.6,1066.81,980110,1.04559E+14,46631,521472,0.5321
01-01-2021,ADANIGREEN,EQ,1052.6,1079.9,1079.9,1053.05,1064.45,1065.95,1065.26,297560,3.16978E+13,11137,141749,0.4764
04-01-2021,ADANIGREEN,EQ,1065.95,1088.4,1090,1071.2,1080.1,1082.25,1079.06,360776,3.89299E+13,24807,202194,0.5604
05-01-2021,ADANIGREEN,EQ,1082.25,1070.2,1106.9,1065,1092.1,1096.45,1086.98,526896,5.72723E+13,23766,274771,0.5215
06-01-2021,ADANIGREEN,EQ,1096.45,1100,1111,1080,1107.7,1107.25,1102.57,427847,4.71733E+13,22661,220893,0.5163
07-01-2021,ADANIGREEN,EQ,1107.25,1113.7,1114,1051.9,1051.9,1063.1,1091.78,1285732,1.40374E+14,35651,912309,0.7096
08-01-2021,ADANIGREEN,EQ,1063.1,1071,1076,1009.95,1014.95,1014.9,1022.2,1646213,1.68276E+14,48326,931642,0.5659
11-01-2021,ADANIGREEN,EQ,1014.9,1020.95,1025.95,964.2,969.2,968.3,976.94,1303510,1.27345E+14,56355,809590,0.6211
12-01-2021,ADANIGREEN,EQ,968.3,980,990.2,921,925,924.15,946.08,1578700,1.49358E+14,75564,836643,0.53
13-01-2021,ADANIGREEN,EQ,924.15,930,935.4,900.1,919.05,922.15,916.55,985028,9.02827E+13,42391,387125,0.393
